,country,happiness_score,beer_percapita,spirit_percapita,wine_percapita
254,United Arab Emirates,6.6479997634887695,16,135,5
255,Brazil,6.6350002288818395,245,145,16
256,Czech Republic,6.60900020599365,361,170,134
257,Argentina,6.59899997711182,193,25,221
258,Mexico,6.57800006866455,238,68,5
259,Singapore,6.57200002670288,60,12,11
260,Malta,6.52699995040894,149,100,120
261,Uruguay,6.4539999961853,115,35,220
262,Guatemala,6.4539999961853,53,69,2
263,Panama,6.4520001411438,285,104,18
264,France,6.44199991226196,127,151,370
265,Thailand,6.4239997863769505,99,258,1
266,Spain,6.40299987792969,284,157,112
267,Qatar,6.375,1,42,7
268,Colombia,6.35699987411499,159,76,3
269,Trinidad and Tobago,6.1680002212524405,197,156,7
270,Slovakia,6.09800004959106,196,293,116
271,Bahrain,6.08699989318848,42,63,7
272,Nicaragua,6.07100009918213,78,118,1
273,Ecuador,6.00799989700317,162,74,3
274,El Salvador,6.002999782562259,52,69,2
275,Poland,5.97300004959106,343,215,56
276,Uzbekistan,5.97100019454956,25,101,8
277,Italy,5.96400022506714,85,42,237
278,Belize,5.955999851226809,263,114,8
279,Japan,5.92000007629395,77,202,16
280,Lithuania,5.90199995040894,343,244,56
281,Latvia,5.849999904632571,281,216,62
282,South Korea,5.837999820709231,140,16,9
283,Moldova,5.837999820709231,109,226,18
284,Romania,5.824999809265139,297,122,167
285,Bolivia,5.82299995422363,167,41,8
286,Turkmenistan,5.82200002670288,19,71,32
287,Kazakhstan,5.8189997673034695,124,246,12
288,Slovenia,5.75799989700317,270,51,276
289,Peru,5.71500015258789,163,160,21
290,Mauritius,5.62900018692017,98,31,18
291,Cyprus,5.62099981307983,192,154,113
292,Estonia,5.61100006103516,224,194,59
293,Belarus,5.5689997673034695,142,373,42
294,Turkey,5.5,51,22,7
295,Paraguay,5.493000030517581,213,117,74
296,Philippines,5.42999982833862,71,186,1
297,Serbia,5.39499998092651,283,131,127
298,Jordan,5.33599996566772,6,21,1
299,Hungary,5.32399988174438,234,215,185
300,Jamaica,5.31099987030029,82,97,9
301,Croatia,5.2930002212524405,230,87,254
302,China,5.2729997634887695,79,192,8
303,Venezuela,5.25,333,100,3
304,Montenegro,5.23699998855591,31,114,128
305,Morocco,5.2350001335144,12,6,10
306,Azerbaijan,5.234000205993651,21,46,5
307,Dominican Republic,5.230000019073491,193,147,9
308,Greece,5.2270002365112305,133,112,218
309,Lebanon,5.22499990463257,20,55,31
310,Portugal,5.19500017166138,194,67,339
311,Bosnia and Herzegovina,5.18200016021729,76,173,8
312,Honduras,5.1810002326965305,69,98,2
313,Macedonia,5.175000190734861,106,27,86
314,Vietnam,5.07399988174438,111,2,1
315,Nigeria,5.07399988174438,42,5,2
316,Kyrgyzstan,5.0040001869201705,31,97,6
317,Mongolia,4.95499992370605,77,189,8
318,South Africa,4.8289999961853,225,76,81
319,Tunisia,4.80499982833862,51,3,20
320,Egypt,4.7350001335144,6,4,1
321,Bulgaria,4.71400022506714,231,252,94
322,Sierra Leone,4.70900011062622,25,3,2
323,Cameroon,4.69500017166138,147,1,4
324,Albania,4.64400005340576,89,132,54
325,Namibia,4.57399988174438,376,3,1
326,Kenya,4.55299997329712,58,22,2
